dirname,reason
8A3F_flow,non-standard dirname (no PREFIX###_NAME pattern)
C189_Symbiogenesis,no element signal (dom=None)
C190_Holobiont,no element signal (dom=None)
C191_Bur_Oak_Blight,no element signal (dom=None)
C192_Intercultural_Communication_Principles,no element signal (dom=None)
C193_Second_Probe_Referral,no element signal (dom=None)
C194_Compost_Time,no element signal (dom=None)
C195_LIFO_Delayering,no element signal (dom=None)
C196_Yin_Yang,no element signal (dom=None)
C199_River_Mouth,no element signal (dom=None)
C200_Food_Waste_Under_Capitalism,no element signal (dom=None)
C205_odot_consider,no element signal (dom=None)
C207_Ineffable_Intelligence,no element signal (dom=None)
C207_Reinforcement_Learning_Superlearners,no element signal (dom=None)
E023_Bioregional_Pilgrimage,no element signal (dom=None)
N001_Turtle_Island_Backronym,no element signal (dom=None)
Z001_Consider_Meta_Posture,no element signal (dom=None)
Z002_LOOM,no element signal (dom=None)
